Hyperparameters,Reward Mean,Standard Deviation
"{'num_runs': 10, 'epsilon_decay': 0.03, 'learning_rate': 0.9, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.984399795532227,9.175000190734863
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.7, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.61199951171875,9.628581047058105
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.4, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",22.165199279785156,14.973703384399414
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.6, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",17.185998916625977,8.681461334228516
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.2, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",35.775203704833984,30.537015914916992
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.8, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",18.632801055908203,9.00654125213623
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.5, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",22.02039909362793,15.1815185546875
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.3, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",27.4247989654541,22.977663040161133
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 1.5, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",25.09280014038086,11.737882614135742
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.1, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",43.54800033569336,35.443485260009766
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 1.2, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",23.038000106811523,11.17958927154541
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.001, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",9.560799598693848,1.1285141706466675
"{'num_runs': 10, 'epsilon_decay': 0.01, 'learning_rate': 0.01, 'replay_buffer_size': 15000, 'batch_size': 30, 'update_frequency': 40, 'loss_function': 'MSE', 'network_architecture': (4, 8, 8, 2)}",11.449199676513672,6.556906700134277
